naziv;sifra;marka;jedinica_mjere;cijena_za_jedinicu_mjere;maloprodajna_cijena;poseban_oblik_prodaje;naziv_posebnog_oblika_prodaje;sidrena_cijena;barkod;dostupnost
Gajka (držak) za opasač s D-prstenom - PREMIUM;GAJ-POV-PRM-CRN-DPR-POL;Covart;kom;15.00;15.00;NE;;15.00;COV0000003;DOSTUPNO
Gajka (držak) za opasač s D-prstenom - PREMIUM;GAJ-POV-NAT-DPR-NER;Covart;kom;10.00;10.00;NE;;10.00;COV0000004;DOSTUPNO
Gajka (držak) za opasač s D-prstenom - PREMIUM;GAJ-POV-PRM-CRN-DPR-NER;Covart;kom;10.00;10.00;NE;;10.00;COV0000002;DOSTUPNO
Replika povijesnog opasača Natur s dvije gajke - Classic;OPA-POV-KLA-NAT-XXL;Covart;kom;70.00;70.00;NE;;70.00;COV0000036;DOSTUPNO
Replika povijesnog opasača Natur s dvije gajke - Classic;OPA-POV-KLA-NAT-XXL;Covart;kom;60.00;60.00;NE;;60.00;COV0000035;DOSTUPNO
Kožni remen ručni rad - Classic 40;REM-ZER-40-NAT-4XL;Covart;kom;49.00;49.00;NE;;49.00;COV0000014;NEDOSTUPNO
Kožni remen ručni rad - Classic 40;REM-ZER-40-NAT-XXL;Covart;kom;49.00;49.00;NE;;49.00;COV0000015;DOSTUPNO
Kožni remen ručni rad - Classic 40;REM-ZER-40-NAT-XXL+;Covart;kom;49.00;49.00;NE;;49.00;COV0000016;NEDOSTUPNO
Replika povijesnog opasača crni - PREMIUM;OPA-POV-PRM-CRN-XXL;Covart;kom;89.00;89.00;NE;;89.00;COV0000033;DOSTUPNO
Replika povijesnog opasača crni - PREMIUM;OPA-POV-PRM-CRN-XXL;Covart;kom;109.00;109.00;NE;;109.00;COV0000034;DOSTUPNO
Replika povijesnog opasača crni - PREMIUM;OPA-POV-PRM-CRN-XL;Covart;kom;89.00;89.00;NE;;89.00;COV0000031;DOSTUPNO
Replika povijesnog opasača crni - PREMIUM;OPA-POV-PRM-CRN-XL;Covart;kom;109.00;109.00;NE;;109.00;COV0000032;DOSTUPNO
